id;nama
0;Tidak ikut dalam organisasi
1;Politik
2;Ekonomi, termasuk Badan Usaha Negara
3;Sosial
4;Kebudayaan
5;Pendidikan
6;Keagamaan
7;Olah raga
8;Golongan Karya
9;Organisasi Masa
A;Lain - Lain
B;Dharma Wanita
C;KORPRI
